SYMBOL,IPO_DATE,NAME,IPO_PRICE,CURRENT,RETURN,THREE_MTH_DATE,THREE_MTH_RETURN
STOK,2019-06-19,Stoke Therapeutics,18.0,47.9,1.6611,2019-09-19,22.05
CHWY,2019-06-14,Chewy,22.0,82.53,2.7514,2019-09-14,0
FVRR,2019-06-13,Fiverr International,21.0,224.93,9.711,2019-09-13,19.27
MWK,2019-06-12,Mohawk Group Holdings,10.0,35.45,2.545,2019-09-12,7.49
CRWD,2019-06-12,CrowdStrike,34.0,194.63,4.7244,2019-09-12,69.66
RVLV,2019-06-07,Revolve Group,18.0,52.28,1.9044,2019-09-07,0
HYAC,2019-06-07,Haymaker Acquisition II,10.0,9.52,-0.048,2019-09-07,0
GIX,2019-06-06,GigCapital2,10.0,10.02,0.002,2019-09-06,9.83
GSX,2019-06-06,GSX Techedu,10.5,86.6,7.2476,2019-09-06,12.3
BCYC,2019-05-23,Bicycle Therapeutics,14.0,26.0,0.8571,2019-08-23,7.03
RTLR,2019-05-23,Rattler Midstream,17.5,11.43,-0.3469,2019-08-23,17.52
IDYA,2019-05-23,IDEAYA Biosciences,10.0,22.58,1.258,2019-08-23,6.36
GXGX,2019-05-21,GX Acquisition,10.0,10.07,0.006999999999999999,2019-08-21,0
FSLY,2019-05-17,Fastly,16.0,70.8,3.425,2019-08-17,0
AVTR,2019-05-17,Avantor,14.0,28.7,1.05,2019-08-17,0
LKNCY,2019-05-17,Luckin Coffee,17.0,9.99,-0.4124,2019-08-17,0
PSTL,2019-05-15,Postal Realty Trust,17.0,15.92,-0.0635,2019-08-15,14.9
APLT,2019-05-14,Applied Therapeutics,10.0,20.33,1.033,2019-08-14,8.83
AGBA,2019-05-14,AGBA Acquisition,10.0,10.55,0.055,2019-08-14,10.0
SONM,2019-05-10,Sonim Technologies,11.0,0.98,-0.9111,2019-08-10,0
UBER,2019-05-10,Uber Technologies,45.0,57.08,0.2684,2019-08-10,0
JFIN,2019-05-10,Jiayin Group,10.5,8.22,-0.2171,2019-08-10,0
MEC,2019-05-09,Mayville Engineering,17.0,16.4,-0.0353,2019-08-09,11.49
CRTX,2019-05-09,Cortexyme,17.0,36.5,1.1471,2019-08-09,27.69
SPFI,2019-05-09,South Plains Financial,17.5,24.41,0.3949,2019-08-09,16.87
NXTC,2019-05-09,NextCure,15.0,11.93,-0.2047,2019-08-09,23.91
AXLA,2019-05-09,Axcella Health,20.0,5.42,-0.7290000000000001,2019-08-09,7.26
HHR,2019-05-09,Headhunter Group,13.5,36.07,1.6719,2019-08-09,18.6
PSN,2019-05-08,Parsons,27.0,37.7,0.3963,2019-08-08,37.28
LCA,2019-05-07,Landcadia Holdings II,10.0,25.49,1.5490000000000002,2019-08-07,9.82
TRVI,2019-05-07,Trevi Therapeutics,10.0,2.75,-0.725,2019-08-07,4.87
TBBA,2019-05-06,TEB Bancorp,10.0,9.28,-0.0725,2019-08-06,8.05
SCPL,2019-05-03,SciPlay,16.0,15.99,-0.0006,2019-08-03,0
YJ,2019-05-03,Yunji,11.0,2.63,-0.7609,2019-08-03,0
RRBI,2019-05-03,Red River Bancshares,45.0,60.89,0.3531,2019-08-03,0
ATIF,2019-05-03,ATIF Holdings,5.0,1.59,-0.682,2019-08-03,0
BYND,2019-05-02,Beyond Meat,25.0,139.39,4.5756,2019-08-02,177.11
SY,2019-05-02,So-Young International,13.8,12.03,-0.1283,2019-08-02,14.39
TMDX,2019-05-02,TransMedics Group,16.0,44.29,1.7681,2019-08-02,23.26
WAFU,2019-04-30,Wah Fu Education Group,5.0,5.94,0.188,2019-07-30,2.9599
HOOK,2019-04-18,HOOKIPA Pharma,14.0,14.7,0.05,2019-07-18,7.16
PINS,2019-04-18,Pinterest,19.0,73.01,2.8426,2019-07-18,25.78
ZM,2019-04-18,Zoom Video Communications,36.0,326.26,8.0628,2019-07-18,95.19
GNLN,2019-04-18,Greenlane Holdings,17.0,5.53,-0.6747,2019-07-18,8.25
MNRL,2019-04-18,Brigham Minerals,18.0,15.18,-0.1567,2019-07-18,20.11
PLMR,2019-04-17,Palomar Holdings,15.0,69.97,3.6647,2019-07-17,24.84
TPTX,2019-04-17,Turning Point Therapeutics,18.0,105.72,4.8733,2019-07-17,41.82
BWAY,2019-04-17,Brainsway,11.0,8.48,-0.2291,2019-07-17,10.28
JMIA,2019-04-12,Jumia Technologies AG,14.5,42.14,1.9062,2019-07-12,24.54
TUFN,2019-04-11,Tufin Software Technologies,14.0,11.19,-0.2007,2019-07-11,29.03
PD,2019-04-11,PagerDuty,24.0,41.18,0.7158,2019-07-11,49.4
GHSI,2019-04-05,Guardion Health Sciences,4.0,2.62,-0.345,2019-07-05,1.23
SILK,2019-04-04,Silk Road Medical,20.0,49.12,1.456,2019-07-04,0
RPLA,2019-04-04,Replay Acquisition,10.0,10.15,0.015,2019-07-04,0
NGM,2019-04-04,NGM Biopharmaceuticals,16.0,30.18,0.8863,2019-07-04,0
TW,2019-04-04,Tradeweb Markets,27.0,73.71,1.73,2019-07-04,0
RUHN,2019-04-03,Ruhnn Holding,12.5,3.39,-0.7292,2019-07-03,3.59
PBTS,2019-04-02,Powerbridge Technologies,5.0,3.68,-0.264,2019-07-02,3.74
LYFT,2019-03-29,Lyft,72.0,66.56,-0.0756,2019-06-29,0
PUYI,2019-03-29,Puyi Inc.,6.0,5.56,-0.0733,2019-06-29,0
DTIL,2019-03-28,Precision BioSciences,16.0,11.09,-0.3069,2019-06-28,13.25
JFK,2019-03-28,8i Enterprises Acquisition,10.0,9.0,-0.1,2019-06-28,9.9005
WTRE,2019-03-28,Watford Holdings,25.26,34.9,0.3816,2019-06-28,27.42
GNFT,2019-03-27,Genfit,22.0,4.81,-0.7814,2019-06-27,19.98
LEVI,2019-03-21,Levi Strauss & Co.,17.0,25.01,0.4712,2019-06-21,21.76
INSU,2019-03-20,Insurance Acquisition,10.0,11.66,0.166,2019-06-20,0
TIGR,2019-03-20,UP Fintech Holding,8.0,20.76,1.595,2019-06-20,5.32
TRNE,2019-03-15,Trine Acquisition,10.0,24.77,1.4769999999999999,2019-06-15,0
FUTU,2019-03-08,Futu Holdings,12.0,131.78,9.9817,2019-06-08,0
CRSA,2019-03-08,Crescent Acquisition,10.0,10.06,0.006,2019-06-08,0
SWAV,2019-03-07,ShockWave Medical,17.0,119.13,6.0076,2019-06-07,62.91
THCB,2019-03-05,Tuscan Holdings,10.0,13.96,0.396,2019-06-05,9.79
HCAC,2019-03-01,Hennessy Capital Acquisition Corp IV,10.0,19.49,0.9490000000000001,2019-06-01,0
KLDO,2019-02-28,Kaleido Biosciences,15.0,10.9,-0.2733,2019-05-28,16.29
SHLL,2019-02-28,Tortoise Acquisition Corp.,10.0,44.91,3.491,2019-05-28,9.69
DPHC,2019-02-28,DiamondPeak Holdings,10.0,18.21,0.821,2019-05-28,9.81
SLGG,2019-02-26,Super League Gaming,11.0,10.14,-0.0782,2019-05-26,0
ACAM,2019-02-22,Acamar Partners Acquisition,10.0,12.3,0.23,2019-05-22,9.75
SOLY,2019-02-19,Soliton,5.0,17.38,2.476,2019-05-19,0
AREC,2019-02-15,American Resources,4.0,4.56,0.14,2019-05-15,3.4899
MITO,2019-02-15,Stealth BioTherapeutics,12.0,1.98,-0.835,2019-05-15,14.0
HOTH,2019-02-15,Hoth Therapeutics,5.6,2.21,-0.6054,2019-05-15,5.94
TCRR,2019-02-14,TCR2 Therapeutics,15.0,23.7,0.58,2019-05-14,15.62
IMAC,2019-02-13,IMAC Holdings,5.13,2.06,-0.598,2019-05-13,3.98
ANCN,2019-02-12,Anchiano Therapeutics,11.5,75.36,5.553,2019-05-12,0
HARP,2019-02-08,Harpoon Therapeutics,14.0,19.07,0.3621,2019-05-08,10.41
RMG,2019-02-08,RMG Acquisition,10.0,27.0,1.7,2019-05-08,9.74
GOSS,2019-02-08,Gossamer Bio,16.0,9.38,-0.4138,2019-05-08,18.17
MNCL,2019-02-07,Monocle Acquisition,10.0,12.2,0.22,2019-05-07,9.85
ALEC,2019-02-07,Alector,19.0,21.02,0.1063,2019-05-07,18.74
IPV,2019-02-04,InterPrivate Acquisition,10.0,13.04,0.304,2019-05-04,0
INMB,2019-02-04,Inmune Bio,8.0,13.93,0.7413,2019-05-04,0
GMHI,2019-02-01,Gores Metropoulos,10.0,18.0,0.8,2019-05-01,9.83
NFE,2019-01-31,New Fortress Energy,14.0,52.0,2.7143,2019-04-30,12.56
ANDA,2019-01-29,Andina Acquisition III,10.0,10.66,0.066,2019-04-29,9.83
RBKB,2019-01-17,Rhinebeck Bancorp,10.0,10.49,0.049,2019-04-17,11.66
BCOW,2019-01-09,1895 Bancorp of Wisconsin,10.0,14.94,0.494,2019-04-09,9.67
MDJH,2019-01-08,MDJM Ltd.,5.0,4.25,-0.15,2019-04-08,3.4730000000000003
MTC,2019-01-08,"MMTec, Inc.",4.0,2.83,-0.2925,2019-04-08,4.3301
SXTC,2019-01-04,China SXT Pharmaceuticals,4.0,2.03,-0.4925,2019-04-04,6.42
