SYMBOL,IPO_DATE,NAME,IPO_PRICE,CURRENT,RETURN,THREE_MTH_DATE,THREE_MTH_RETURN
ARRY,2020-10-15,Array Technologies,22.0,31.61,0.4368,2021-01-15,45.93
MNSO,2020-10-15,Miniso Group,20.0,24.0,0.2,2021-01-15,28.59
MOTN,2020-10-15,Motion Acquisition,10.0,9.92,-0.008,2021-01-15,10.5
FVAM,2020-10-14,5:01 Acquisition,10.0,10.1,0.01,2021-01-14,10.56
CDAK,2020-10-14, Codiak BioSciences,15.0,18.06,0.204,2021-01-14,29.73
IPOD,2020-10-09,Social Capital Hedosophia IV,10.0,11.82,0.182,2021-01-09,0
IPOE,2020-10-09,Social Capital Hedosophia V,10.0,19.15,0.915,2021-01-09,0
IPOF,2020-10-09,Social Capital Hedosophia VI,10.0,11.63,0.163,2021-01-09,0
INTZ,2020-10-09,Intrusion,8.0,25.7,2.2125,2021-01-09,0
SPRB,2020-10-09,Spruce Biosciences,15.0,19.42,0.2947,2021-01-09,0
STTK,2020-10-09,Shattuck Labs,17.0,37.77,1.2218,2021-01-09,0
KRON,2020-10-09,Kronos Bio,19.0,28.34,0.4916,2021-01-09,0
LCY,2020-10-09,Landcadia Holdings III,10.0,10.55,0.055,2021-01-09,0
IH,2020-10-09,iHuman,12.0,15.1,0.2583,2021-01-09,0
PAIC,2020-10-08,Petra Acquisition,10.0,9.97,-0.003,2021-01-08,10.25
FUBO,2020-10-08,FuboTV,10.0,32.05,2.205,2021-01-08,27.31
AZYO,2020-10-08,Aziyo Biologics,17.0,13.92,-0.1812,2021-01-08,14.05
NGAC,2020-10-07,NextGen Acquisition,10.0,10.42,0.042,2021-01-07,10.18
MAAC,2020-10-07,Montes Archimedes Acquisition,10.0,9.85,-0.015,2021-01-07,10.05
EMPW,2020-10-07,Empower,10.0,10.1,0.01,2021-01-07,10.11
SQFT,2020-10-07,Presidio Property Trust,5.0,3.71,-0.258,2021-01-07,3.76
PACE,2020-10-07,TPG Pace Tech Opportunities,10.0,10.25,0.025,2021-01-07,11.34
TPGY,2020-10-07,TPG Pace Beneficial Finance,10.0,19.54,0.9540000000000001,2021-01-07,26.58
