SYMBOL
RNO
GMAD
CHKM
HSFT
CIL
MOTR
BOR N
SQTC.U
AH
RRTS
SANWU
DVOX
GGS
TNGN
ANTH
PHYS
CTC
AMCF
CLU
CIE
GSMEF
CLD
DYP
STRI
ZSTN
RA
EDMC
CDCS
DGW
GOV
BPI
CSACF
SOLR
NHR.U
NNA-U
RHIE
CFQUF
RSOL
WHX
HFFIU
HMAUF
SCRUF
BPW-U
BHRT
ARST
GHQ-U
BBVUF
NLX-U
ATAI
HOO
AXG-U
RMG
TUX-U
FYR-U
HMR-U
CIO-U
TKP-U
N
GU
GIA
URX-U
ENTR
TGY-U
GQN-U
LIA-U
NSAQU
CAELU
GHC-U
IDI-U
PAX-U
OZM
HEK-U
TTY-U
CLU.U
EST-U
AREX
GPH-U
ARYX
AMCN
NSHP
SMLC
CISG
HLD-U
TCW-U
FUQI
MXT
THI.U
OOO-U
NAQ-U
TSON
STTAU
DSP-U
FMGQ-U
HIA-U
IAN-U
TOH-U
SRG-U
IAQGU
KGS
AMV-U
IMRX
KHA-U
MF
CFAUF
SGLP
AYA-U
FOOD-U
GGA-U
CADQU
AII-U
AXC-U
BIOF
PEX-U
FBCM
LDK
SCOC-U
SACQU
TTSPU
VTG-U
HLCS
SIRT
ACDQU
BUS-U
BIOD
TTPY
QXM
NGSX
VRUS
VTRQU
VRY-U
ONCF
CHM-U
DEEP
MBH-U
TFN-U
VRAZ
ETEL
CPHL
XFML
CHIP
CEL
MIPI
AHII
MMPI
OCLS
FRH-U
SHND-U
UPG
SOLF
TAQ-U
ARTE
DSUP
MKGBU
RAPIU
PLTE
PCQCU
AFFY
WSFG
MVU-U
NLST
RNIN
HTZ
RRST
GHS
GHN-U
II
UCLP
SAI
ULTR
FSMOU
RPSDU
BBEP
OFSI
HPGP
ESA-U
MAQ-U
QI
BGH
CRZ
AHD
MQC-U
EII-U
VEH
GMKT
AVR
RDYN
VSE
BTC.U
HDP-U
BKC
ASAQU
NOVC
NSTR
RAMR
HAC.U
SHA.U
GSPAU
GSPBU
HAQPU
AAACU
JKA.U
ONAV
GFN.U
GGL
PXIAU
NAO.U
EHHAU
AQR.U
GHBAU
GHBBU
IGC.U
OHAQU
GAV.U
GLA.U
CRDC
DMGI
MAIL
RGNC
HBRYU
ARGLU
CRMH
PXPL
SEA-U
BDSBU
EDA-U
DEIX
STP
CAPB
UARM
CDS-U
IHS 
CRXX
NKT
WSPI
CSA
HERO
MATH
KHPAU
PGRIU
PMQCU
FDSUA
BOT
AVRX
HRZ
NXTY
WLSC
CNUTU
AVPAU
RMX
SCDEU
ITHKU
KONA
RFX
FRZ
CNCAU
CSCAU
ADLS
BUN
HAQ.U
PEC
GSTL
JNPPU
JNPPZ
FAACU
ISLTU
OMACU
CRYO
JRT
CRBU
SVIU
TACAU
DFR
DSW
TBSI
GNT
PORK
RACK
RAMS
SSAG
NSE
LDZ
KBLHU
MPAQU/MPABU)
PRB
FSTC
PA
ALBAU
CBASU
WXS
ODMO
VCC
HLND
FTD
VCG
EMAG
HRAY
ARP
THLD
FVRL
SEAB
FMP
ARBX
ORNG
FSTF
SOLD
CBON
FCL
RHEO
CABG
DRY
PRAI
INPC
CN
RACQU
USS
YSI
TLVT
INCX
GRU
HTX
BGF
GKIS
NWY
WSSI
PLSB
WPTE
GKK
LMRA
TOPT
DEX
KBAY
XGEN
QCCO
AFFM
KONG
NETL
HXM
RTSX
IFO
DRAD
STAN
ATLS
ORGN
GMTN
IMMC
JDO
SMI
CAQCU.OB
SFO
XCYT
LTON
CEACU
BRW
CGTK
BKRS
STAK
SMBI
GTXI
XTXI
LUM
FBTX
FLCN
HIH
UNGL
NAX
CTRP
PNCL
XPRT
CFHI
OVNT
CNVX
GTOP
CHLE
AVNC
ACUS
LKQX
AGCC
AMIS
SGTL
PRSC
DRCT
CDL
AFR
RED
IPMT
TKG
LEND
BOFL
OLCB
XTEX
IMPC
WC
HWFG
PTP Pr M
USIH
CTMI
VNX
ELAB
LQMT
KYPH
DWMA
HTG
MRN
EFH
MEDT
TAP.A
ACL
WCI
ANT
IDE
PETC
NWBT
UDI
CNTE
RMK
CHR
MDCVU
DVS
MHLXU
DJO
WTW
FPHC
MXRE
IAIA
AIQ
NRGY
BABY
GLYN
MLTC
KFT
USPI
TASRU
BRZZ
SPLX
RRI
ILA
UDL
SLMC
VRST
SURE
LDCL
SJH
AFCE
GMXR/GMXRW
AQA
TWTI
KCIN
ATPG
WEG
RECN
WPL
TELN
TEM
IMTV
TKA
BCON
NVTL
GORX
ESLR
CRXL
ALAO
REGS
WHES
NPW
HED
CIPH
PRTN
UOPX
HYDL
EDEN
SOE
CURN
SVCW
AVSR
LEXR
TELK
LEON
OEH
EVLV
CHPC
MCEL
AGIX
RDVW
HPOW
MCDT
AOLA
PMTR
CWCI
BDAL
SCRM
VERS
DGEN
ERMS
FLRE
WMUX
AVCI
GCOR
DPII
GMNI
TALR
VGNX
AIRN
DCGN
PTIE
NENG
SRTI
DVIN
ASTT
IVTA
MOBE
GENU
EFDS
MSV
QBAK
SLT
TTA
EXLT
FHRX
UCO
UNWR
