symbol,fiscaldate_end,reported_currency,gross_profit,total_revenue,costof_revenue,costof_goodservices_sold,operating_income,selling_gen_admin,research_dev,operating_expenses,investment_income_net,netInterestIncome,interest_income,interest_expense,noninterest_income,othernon_operatingincome,depreciation,dpr_and_amort,income_beforetax,incometax_expense,interest_debt_expense,netincome_cont_operations,comprehensive_income_netoftax,ebit,ebitda,netincome
ATN,12/31/2006,USD,0,94070000,67632000,67632000,14886000,6220000,0,0,0,0,0,0,0,0,0,0,15293000,0,0,0,0,0,0,21648000
ATUS,6/30/2017,USD,1569647000,2328341000,758694000,758694000,256782000,593690000,0,1312865000,0,0,0,420372000,0,1121000,0,0,-724223000,-249068000,0,-474790000,-479439000,256782000,0,-475155000
ATXI,6/30/2017,USD,-93000,-93000,0,0,-1744000,1297000,447000,1744000,0,-93000,0,93000,0,-454000,0,0,-2311000,0,93000,-1744000,-1744000,-1744000,0,-2406000
AUTL,6/30/2018,USD,-9104500,375000,9479500,9479500,-16793000,7688500,17713000,17168000,0,0,0,0,0,0,0,0,-12464500,-2208500,0,-10256000,0,-16793000,0,-10256000
AUVI,9/30/2020,USD,78178,1560633,1482455,1482455,-894967,925108,48037,2455600,0,0,0,0,0,0,0,0,-894732,0,0,-894732,0,-885785,0,-894732
AVIV,3/31/2013,USD,0,34701000,7998000,7998000,12616000,14087000,0,0,0,0,0,13433000,0,0,0,0,0,0,0,0,0,0,0,0
AVLR,6/30/2018,USD,45077000,63709000,18632000,18632000,-17296000,49945000,12428000,62373000,0,0,0,1067000,0,442000,1600000,0,-17652000,114000,0,-17766000,-20814000,-17296000,0,-17766000
AVNU,12/31/2014,USD,0,0,1394000,1394000,3544000,4366000,0,0,0,0,0,0,0,0,0,0,1865000,572000,0,0,0,0,0,1293000
AVOL,12/31/2014,USD,0,172686000,75558000,75558000,45548000,0,0,0,0,0,0,54025000,0,0,0,0,0,2902000,0,0,0,0,0,0
AVRO,6/30/2018,USD,0,0,0,0,-9547000,2140000,7407000,-9547000,0,0,0,0,0,-960000,0,0,-10507000,0,0,-10507000,0,-10507000,0,-10507000
